Column1,B350ML22 2024-03-20_14-43-31_1.obj,B350ML22 2024-03-20_14-43-31_2.obj,B350ML22 2024-03-20_14-43-31_3.obj,B350ML22 2024-03-20_14-43-31_4.obj,B350ML22 2024-03-20_14-43-31_5.obj,Pre Process Median,Column1,B350ML22 2024-03-20_14-43-31_1-LRSnp.obj,B350ML22 2024-03-20_14-43-31_2-CFW-RAp-LRSnp.obj,B350ML22 2024-03-20_14-43-31_3-CFW-LRAp-RSh-NkAll.obj,B350ML22 2024-03-20_14-43-31_4-CFW-LRAp-RSh-NkAll.obj,B350ML22 2024-03-20_14-43-31_5-CFW-LRAp-RSh-LRSnp.obj,Median,Column1,Difference in median values processed to non processed Scan 1
C10c_Crotch_Height_Circ_036c,94.86,94.95,94.82,95.66,95.02,94.95,C10c_Crotch_Height_Circ_036c,94.86,94.95,94.82,95.66,95.02,94.95,C10c_Crotch_Height_Circ_036c,0
C10c1_Crotch_Height_Circ_Contour_036c1,104.48,104.91,105.46,100.74,105.1,104.91,C10c1_Crotch_Height_Circ_Contour_036c1,104.48,104.91,105.46,100.74,105.1,104.91,C10c1_Crotch_Height_Circ_Contour_036c1,0
C10h_Crotch_Height_036h,76.97,76.96,76.69,78.74,76.99,76.97,C10h_Crotch_Height_036h,76.97,76.96,76.69,78.74,76.99,76.97,C10h_Crotch_Height_036h,0
C10l_Crotch_Length_036l,78.39,79.31,80.95,79.84,79.79,79.79,C10l_Crotch_Length_036l,78.39,79.24,80.84,79.78,79.61,79.61,C10l_Crotch_Length_036l,-0.18
C10lf_Crotch_Length_Fr_036lf,38.69,39.15,40.19,39.73,39.26,39.26,C10lf_Crotch_Length_Fr_036lf,38.69,39.09,40.08,39.67,39.07,39.09,C10lf_Crotch_Length_Fr_036lf,-0.17
C10lb_Crotch_Length_Bk_036lb,39.7,40.15,40.76,40.11,40.53,40.15,C10lb_Crotch_Length_Bk_036lb,39.7,40.15,40.76,40.11,40.53,40.15,C10lb_Crotch_Length_Bk_036lb,0
C10z_Crotch_Point_Z,-2.38,-2.17,-2.43,-2.37,-2.18,-2.37,C10z_Crotch_Point_Z,-2.38,-2.17,-2.43,-2.37,-2.18,-2.37,C10z_Crotch_Point_Z,0
C10lil_Cr_Left_Inside_Leg,78.2,78.18,77.91,79.87,78.23,78.2,C10lil_Cr_Left_Inside_Leg,78.2,78.18,77.91,79.87,78.23,78.2,C10lil_Cr_Left_Inside_Leg,0
C10ril_Cr_Right_Inside_Leg,78.13,78.13,77.9,79.98,78.18,78.13,C10ril_Cr_Right_Inside_Leg,78.13,78.13,77.9,79.98,78.18,78.13,C10ril_Cr_Right_Inside_Leg,0
T01cl_Thigh_Circ_L_044cl,54.22,54.09,53.86,54.77,54.29,54.22,T01cl_Thigh_Circ_L_044cl,54.22,54.09,53.86,54.77,54.29,54.22,T01cl_Thigh_Circ_L_044cl,0
T01hl_Thigh_Circ_Height_L_044hl,71.89,71.87,71.6,73.63,71.88,71.88,T01hl_Thigh_Circ_Height_L_044hl,71.89,71.87,71.6,73.63,71.88,71.88,T01hl_Thigh_Circ_Height_L_044hl,0
T01dl_Thigh_Circ_L_Depth,17.64,17.62,17.53,17.69,17.66,17.64,T01dl_Thigh_Circ_L_Depth,17.64,17.62,17.53,17.69,17.66,17.64,T01dl_Thigh_Circ_L_Depth,0
T01wl_Thigh_Circ_L_Width,17.41,17.39,17.24,17.08,17.44,17.39,T01wl_Thigh_Circ_L_Width,17.41,17.39,17.24,17.08,17.44,17.39,T01wl_Thigh_Circ_L_Width,0
T01cr_Thigh_Circ_R_045cr,54.88,54.93,54.67,56.2,54.89,54.89,T01cr_Thigh_Circ_R_045cr,54.88,54.93,54.67,56.2,54.89,54.89,T01cr_Thigh_Circ_R_045cr,0
T01hr_Thigh_Circ_Height_R_045hr,71.89,71.87,71.6,73.63,71.88,71.88,T01hr_Thigh_Circ_Height_R_045hr,71.89,71.87,71.6,73.63,71.88,71.88,T01hr_Thigh_Circ_Height_R_045hr,0
